t_env,loss,grad_norm,q_taken_mean
383698,52.285491943359375,3703.6772,3.6297875250775125
384223,53.8916015625,4064.7354,3.8075644037589114
384809,40.70849609375,3379.3467,4.251279202470462
385346,42.34990310668945,13536.5205,4.234858224982586
385862,25.95779800415039,2376.2236,3.829180552947803
386422,27.58301544189453,2441.1196,4.102721126500948
386947,27.442928314208984,2339.1099,3.8396214535361843
387450,60.27989196777344,4602.9917,4.320173695724413
388019,32.478946685791016,2820.6326,4.107853720115417
388539,51.85853576660156,3756.255,4.345119284027479
389115,33.19644546508789,3195.7217,4.126484843357185
389889,36.12648010253906,3266.988,4.510096558619238
390445,52.462738037109375,3951.7966,3.665601106639839
391045,53.89738845825195,4104.7383,4.123278704978206
391816,31.529083251953125,2962.1338,4.155973378902158
392344,54.440242767333984,3865.6104,3.808771314135586
392897,47.24812316894531,3641.8708,4.138440302690583
393574,38.28418731689453,3403.2407,4.400092161978222
394075,28.475934982299805,2679.0298,3.9103897623058206
394675,44.88261032104492,3465.6084,3.88552771289021
395180,43.44499206542969,4044.8718,4.637609066258591
395689,48.17555236816406,3894.2231,4.054689887579131
396203,51.61540603637695,4140.2695,4.205151302272178
396734,32.477203369140625,2696.8447,4.307918578615657
397288,32.503353118896484,2871.4395,4.068292727361057
397880,37.63856506347656,3232.665,4.288156389792599
398413,51.73896408081055,4033.7615,4.407838935886019
399092,43.295013427734375,3603.9285,4.042442616463139
399621,47.60427474975586,3699.3936,3.7962537537537537
400163,36.46868133544922,3489.7837,4.3574830668160525
400731,33.59789276123047,3156.2036,4.084060338201383
401290,39.64213562011719,3583.104,4.720464068225911
401813,35.44877243041992,3182.9448,4.229905382504842
402466,26.067047119140625,2552.8948,4.272092628205129
403077,35.939579010009766,3464.3198,4.714445346320346
403712,54.290504455566406,4356.8726,3.9574018165212097
404264,44.30765151977539,3532.3286,3.8978546280369812
404903,34.19325637817383,3117.1003,4.177865367425668
405403,47.83051681518555,3680.3174,3.8185433772687984
405929,35.604957580566406,2866.8447,4.614238049794896
406497,46.65363693237305,3600.1748,3.9918512863825364
407172,37.76999282836914,3102.426,4.327285839160839
407963,54.65504837036133,3924.5142,4.2057350543478265
408584,34.238487243652344,3076.766,4.61000493792325
409100,37.208282470703125,3151.0718,4.172534502953758
409678,46.54591751098633,3632.4758,3.663192367104747
410267,35.239341735839844,3184.4478,4.262011147660819
410786,49.251686096191406,3764.4922,3.797009854771784
411380,52.280330657958984,3997.7024,4.09934225577671
411926,61.09934997558594,4372.4053,4.245573221390124
412497,56.87123107910156,4077.483,4.040906684404866
413077,31.027103424072266,2744.8577,4.719898947951274
